dataset,cell,window,run_id,run_short,protocol,parameter_match_grade,kind,parameter,vector_rms_mV,vector_bias_mV,vector_centered_rms_mV,high_current_rms_mV,high_current_ratio,high_transition_rms_mV,high_transition_ratio,late_progress_rms_mV,late_progress_ratio,n_points
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,residual,,152.7932984959594,134.12891857151968,73.17940467173798,192.85498091204371,1.2621952848091944,172.59271147187982,1.129582993304147,233.88551903580452,1.5307315264353012,2000
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,response,Dsn,0.6046781180263681,0.3712133050155958,0.4773220177189698,0.8817611259424228,1.4582322390306377,0.7256155047787284,1.2000029158440402,1.1251023095957144,1.8606631793920023,2000
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,response,Dsp,8.313730880180012,8.037138879661077,2.1266216817052848,9.527106558539302,1.1459483949921911,9.137473517810129,1.099082186987063,6.975682375649754,0.8390555908274377,2000
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,response,j0n,17.632183015873007,10.114512641858587,14.442662909689588,26.5332823642715,1.5048211750289493,24.547352927796037,1.3921902299731004,17.846968681986272,1.0121814562564322,2000
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,response,j0p,3.0396991458994065,1.5179601589977314,2.633546630169506,4.813591108304868,1.5835748464773116,4.684165608670933,1.5409964551886437,3.07977791074654,1.0131851090925232,2000
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,response,De,3.8098888172888374,3.2713848617772228,1.9527657018283981,5.024758907017087,1.3188728458991528,5.062683987305462,1.3288272257005465,3.607815509201017,0.9469608385497144,2000
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,response,kappa_e,4.534213355034979,2.274451347474851,3.9224943361268725,7.165367699561431,1.5802890465232982,7.0916229569703155,1.5640249811128724,4.47530670868016,0.9870084087928049,2000
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,response,Rn,17.839732144534356,-10.522643623574938,14.405902059918706,26.879715439450543,1.5067331292687491,24.36166607340473,1.365584745108885,19.034080003783323,1.0669487551479233,2000
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,response,Rp,17.658479889035366,-16.90024574188602,5.118945775775499,21.28428376340944,1.205329331695501,19.017942877997793,1.076986410920147,15.200655117475655,0.860813343673719,2000
calce_20r,2,DST_50SOC,calce_20r/2/DST_50SOC,20R DST50,DST,B,response,brug_e,12.512629032714106,-10.117571086157144,7.362108436234612,18.261660291968944,1.459458299628645,15.507517134773465,1.2393492282260796,12.237037817587234,0.9779749551907644,2000
